text,size,text,size,text,size,text,size,text,size,text,size,text,size,text,size,text,size,text,size
machin,226.300865963,set,256.730557516,use,227.366632658,one,206.238091183,use,273.943417795,use,246.315769273,word,210.935065599,data,282.600675129,use,271.556974294,data,322.3970661
use,222.040779538,use,248.621008152,user,192.266335578,use,202.076634614,data,251.801877651,r,174.242147106,use,185.869853835,use,236.412902887,topic,266.931585794,similar,195.093070896
p,144.466822481,valu,201.246709363,scienc,188.097577135,cluster,200.500415849,model,190.905231318,python,125.316571721,data,179.18680052,m,229.076888878,http,202.665667252,r,180.299025867
run,130.012761719,train,181.339240033,would,119.513507256,n,187.885736827,learn,174.397094768,learn,123.250988459,x,147.113811556,model,99.9464514964,document,158.281348743,model,139.149867166
differ,127.970502303,seri,170.190177992,one,110.741481667,k,177.326259831,algorithm,151.513394701,http,122.230858133,column,132.26494548,error,92.3756844204,analysi,148.912848364,matrix,115.026577679
file,126.651584899,model,158.040035834,like,107.250884566,data,168.903534934,would,113.346448658,languag,119.225178245,good,118.27741673,predict,89.9276190098,model,137.462830474,would,109.618568147
hadoop,124.423295227,class,144.825533295,http,92.659098346,d,143.134609271,problem,110.372281528,scienc,111.978551514,c,114.769993019,e,88.9452887936,would,101.228203634,like,107.740839641
work,121.105929954,probabl,125.985387269,en,88.0517240742,b,125.150807477,time,109.36102151,text,109.961348881,d,108.793893875,method,80.6016928973,one,95.4567438536,one,96.1197112937
system,117.390003867,one,112.935599917,r,86.310540361,distanc,121.746304741,sampl,104.008220883,program,109.930332226,valu,103.37352992,function,80.1052372657,org,90.6399543373,recommend,92.028558482
make,113.798738309,exampl,111.651210149,learn,85.9245673423,j,119.087981447,like,99.9518073081,term,106.740109646,one,96.061842456,y,76.5996005231,like,88.8089647361,learn,88.3909388859
need,102.769723802,classifi,110.390947482,also,79.6567016798,y,117.960396491,one,88.0285963147,model,102.544153177,text,85.5168392579,variabl,76.2706074513,learn,85.0289288392,number,78.3515753507
chang,101.272968689,time,104.581265009,time,79.3549344199,x,116.29408061,question,73.202990629,job,95.188753638,length,82.3098285788,case,71.2807981287,www,84.9556365205,problem,76.730300187
tool,98.8030160914,classif,102.394125367,question,79.1913095338,test,111.747014296,look,71.8688443348,like,92.7824645431,tag,81.1052480019,learn,70.579713319,also,84.1786535381,time,76.0092849421
day,94.965429437,would,96.5671134654,could,77.3180616512,class,108.836338003,answer,69.6892001687,featur,82.3414746844,combin,80.8499337891,one,70.4309921021,com,81.3805653726,algorithm,71.9275291242
mean,90.4735928751,attribut,92.2234551746,answer,75.9976053536,c,108.050186567,need,68.4662626633,packag,82.143913999,count,78.538191363,first,70.2544254861,import,81.2855064188,also,71.6190772578
also,82.8802018743,featur,79.1761990037,work,74.3002608276,output,105.691186828,method,67.6990402831,softwar,80.9337969064,number,77.6364958731,like,70.0582158269,visual,79.388337502,instanc,70.1400117738
would,80.4459135418,differ,78.8339694103,gener,73.4210085155,f,98.4792060057,differ,67.5566671287,would,76.5323858524,nn,77.3207485556,long,69.6817529811,python,79.0371855145,distribut,68.9152138003
one,79.7788902252,tree,75.3100423353,scientist,72.0187777937,model,96.965837682,tri,67.5441427001,question,75.9050961342,e,73.3720380974,valu,65.9460405279,time,75.4810561315,work,66.8452079402
distribut,77.6433608978,label,75.0645051939,tool,71.8075847591,featur,94.8607963867,way,66.8483798939,work,75.4855393839,set,73.2266831572,doubl,64.6417969612,api,70.6047746145,set,64.9412011261
